line         score     log(score)
 avg  4.922996e-11     -23.734519
 tot  0.000000e+00 -688301.042368

  line         score  log(score)
   452  3.046897e-04   -8.096217
   453  9.185255e-08  -16.203081
   454  5.130863e-25  -55.929353
   455  4.054366e-04   -7.810546
   456  2.215479e-08  -17.625212
   457  2.561371e-09  -19.782723
   458  1.966089e-11  -24.652390
   459  2.897707e-04   -8.146421
   460  4.138583e-03   -5.487402
   461  5.504778e-05   -9.807309
   462  7.618610e-07  -14.087502
   463  7.143677e-07  -14.151868
   464  5.258742e-16  -35.181470
   465  1.529034e-12  -27.206385
   466  5.843097e-10  -21.260590
   467  3.496399e-02   -3.353437
   468  3.426380e-16  -35.609857
   469  1.159738e-11  -25.180242
   470  2.076254e-08  -17.690115
   471  4.022008e-06  -12.423729
   472  9.130993e-04   -6.998666
   473  9.510668e-08  -16.168267
   474  1.219536e-06  -13.617040
   475  1.609948e-03   -6.431554
   476  1.612943e-30  -68.599492
   477  2.630874e-03   -5.940439
   478  1.437712e-09  -20.360213
   479  1.727686e-07  -15.571313
   480  1.368081e-15  -34.225367
   481  4.085375e-04   -7.802927
   482  1.837158e-13  -29.325387
   483  6.142316e-05   -9.697724
   484  6.134400e-05   -9.699013
   485  4.589794e-05   -9.989090
   486  8.110286e-35  -78.497345
   487  2.592630e-08  -17.468008
   488  4.136138e-10  -21.606088
   489  3.971407e-09  -19.344145
   490  1.097744e-09  -20.630009
   491  9.806899e-10  -20.742765
   492  1.493579e-13  -29.532431
   493  2.424929e-07  -15.232293
   494  4.202531e-17  -37.708260
   495  2.090475e-10  -22.288459
   496  2.523018e-13  -29.008150
   497  7.983403e-03   -4.830390
   498  3.137659e-09  -19.579789
   499  6.057381e-09  -18.921988
   500  1.128433e-09  -20.602436
   501  8.450523e-04   -7.076112
   502  1.812752e-05  -10.918079
   503  7.442055e-05   -9.505778
   504  2.662619e-09  -19.743956
   505  1.272152e-08  -18.179971
   506  3.548854e-04   -7.943716
   507  8.784504e-08  -16.247692
   508  8.627178e-19  -41.594199
   509  1.589933e-18  -40.982840
   510  1.018336e-06  -13.797341
   511  6.182884e-04   -7.388556
   512  2.359570e-14  -31.377712
   513  1.244985e-08  -18.201558
   514  9.585948e-08  -16.160383
   515  3.265288e-07  -14.934748
   516  1.795728e-12  -27.045611
   517  4.397103e-10  -21.544905
   518  2.764383e-06  -12.798693
   519  1.322153e-03   -6.628494
   520  4.849319e-11  -23.749598
   521  3.605093e-05  -10.230578
   522  3.539645e-25  -56.300601
   523  2.091224e-08  -17.682931
   524  8.843742e-08  -16.240971
   525  1.632401e-03   -6.417703
   526  1.678041e-09  -20.205639
   527  1.293340e-03   -6.650527
   528  1.282442e-06  -13.566744
   529  2.160583e-06  -13.045133
   530  1.841060e-17  -38.533605
   531  1.100730e-19  -43.653144
   532  1.145231e-08  -18.285074
   533  5.930348e-11  -23.548353
   534  2.452115e-11  -24.431485
   535  4.951363e-04   -7.610678
   536  8.734610e-05   -9.345632
   537  1.531392e-16  -36.415184
   538  7.095347e-11  -23.368997
   539  1.593034e-09  -20.257625
   540  7.810071e-11  -23.273022
   541  2.737355e-11  -24.321444
   542  4.362823e-13  -28.460487
   543  5.105165e-06  -12.185258
   544  1.273427e-11  -25.086725
   545  7.232642e-08  -16.442076
   546  3.469241e-12  -26.387085
   547  1.002323e-08  -18.418360
   548  2.673982e-06  -12.831942
   549  5.045772e-10  -21.407300
   550  7.122243e-04   -7.247118
   551  3.496398e-03   -5.656022
   552  6.530481e-15  -32.662296
   553  1.537515e-09  -20.293098
   554  1.287906e-04   -8.957323
   555  6.241386e-08  -16.589478
   556  3.166483e-07  -14.965474
   557  3.380314e-19  -42.531148
   558  2.424530e-11  -24.442798
   559  1.763972e-06  -13.247943
   560  8.631262e-08  -16.265290
   561  7.653131e-06  -11.780396
   562  7.305643e-18  -39.457885
   563  2.836903e-04   -8.167627
   564  4.256204e-11  -23.880058
   565  1.096509e-05  -11.420794
   566  2.019426e-10  -22.323038
   567  3.732971e-04   -7.893136
   568  8.984218e-08  -16.225211
   569  2.114364e-06  -13.066757
   570  7.192257e-05   -9.539920
   571  5.235553e-05   -9.857453
   572  1.584615e-08  -17.960339
   573  1.814761e-05  -10.916972
   574  8.984540e-09  -18.527761
   575  3.185619e-02   -3.446524
   576  4.906786e-19  -42.158498
   577  1.942605e-07  -15.454066
   578  8.807550e-07  -13.942486
   579  2.372932e-04   -8.346214
   580  2.893259e-11  -24.266053
   581  1.037954e-08  -18.383429
   582  4.078649e-10  -21.620085
   583  4.356968e-07  -14.646319
   584  1.765805e-07  -15.549489
   585  3.719800e-09  -19.409596
   586  2.334577e-17  -38.296116
   587  3.052267e-07  -15.002211
   588  4.579239e-15  -33.017244
   589  2.418827e-04   -8.327058
   590  5.330696e-10  -21.352369
   591  4.634780e-03   -5.374167
   592  1.014573e-03   -6.893288
   593  1.001271e-09  -20.721995
   594  1.738102e-03   -6.354961
   595  3.290633e-04   -8.019261
   596  6.087447e-08  -16.614452
   597  4.072474e-03   -5.503505
   598  1.347357e-19  -43.450972
   599  1.526804e-22  -50.233695
   600  8.567062e-14  -30.088266
   601  8.537811e-15  -32.394272
   602  4.156385e-13  -28.508960
   603  2.316987e-06  -12.975243
   604  5.860360e-10  -21.257640
   605  2.777142e-02   -3.583748
   606  1.060966e-11  -25.269256
   607  5.716628e-12  -25.887642
   608  4.812512e-11  -23.757217
   609  9.404605e-11  -23.087237
   610  1.112602e-20  -45.945001
   611  3.480493e-04   -7.963166
   612  1.022861e-11  -25.305833
   613  1.086596e-03   -6.824705
   614  2.429313e-14  -31.348583
   615  1.222719e-04   -9.009263
   616  2.527823e-20  -45.124343
   617  3.221404e-09  -19.553448
   618  9.816156e-06  -11.531481
   619  2.742055e-04   -8.201633
   620  2.450119e-09  -19.827129
   621  3.368299e-09  -19.508858
   622  4.509449e-07  -14.611921
   623  2.071565e-08  -17.692376
   624  5.251258e-09  -19.064798
   625  6.279386e-03   -5.070483
   626  2.776355e-10  -22.004712
   627  3.601439e-05  -10.231592
   628  1.613890e-04   -8.731693
   629  2.295116e-16  -36.010578
   630  3.550747e-13  -28.666448
   631  5.723063e-04   -7.465836
   632  2.649939e-02   -3.630633
   633  8.458224e-08  -16.285541
   634  5.068975e-09  -19.100127
   635  4.565747e-04   -7.691758
   636  8.383229e-16  -34.715128
   637  3.904459e-07  -14.755976
   638  3.369677e-06  -12.600694
   639  1.034051e-12  -27.597537
   640  2.640880e-07  -15.146984
   641  7.681696e-07  -14.079255
   642  1.881185e-10  -22.393949
   643  7.787653e-11  -23.275896
   644  7.131150e-10  -21.061378
   645  4.114290e-09  -19.308799
   646  5.380874e-04   -7.527490
   647  1.124123e-04   -9.093338
   648  1.590423e-05  -11.048925
   649  1.006423e-12  -27.624619
   650  1.750084e-05  -10.953262
   651  1.286882e-15  -34.286554
   652  7.552172e-07  -14.096260
   653  3.799259e-10  -21.691045
   654  1.230399e-09  -20.515928
   655  8.762094e-03   -4.737320
   656  2.980664e-08  -17.328535
   657  1.560225e-02   -4.160340
   658  5.752687e-08  -16.671014
   659  6.290511e-05   -9.673883
   660  3.661346e-08  -17.122850
   661  1.224084e-09  -20.521073
   662  1.137732e-11  -25.199399
   663  6.710645e-04   -7.306645
   664  1.014497e-08  -18.406288
   665  4.856584e-04   -7.630005
   666  5.503082e-11  -23.623128
   667  6.060394e-09  -18.921491
   668  5.479970e-08  -16.719581
